Waypoint Title	URL	Captive URL	Annotation Title	Annotation Text	Share View	Annotation Picture Path	Credits	Author	Dateline	Story Mode	Landscape override														
Public housing 2010			which were depopulated, their former residents scattered, by 2010.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Public housing 2010		which were depopulated, their former residents scattered, by 2010.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Public housing 2010		which were depopulated, their former residents scattered, by 2010.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Public housing 2010		which were depopulated, their former residents scattered, by 2010.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Public housing 2010		which were depopulated, their former residents scattered, by 2010.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4089,-79.971,12.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010
Fairywood 1990			Some, like Broadhead Manor in Fairywood, were boarded up between 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Fairywood 1990		Some, like Broadhead Manor in Fairywood, were boarded up between 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Fairywood 1990		Some, like Broadhead Manor in Fairywood, were boarded up between 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Fairywood 1990		Some, like Broadhead Manor in Fairywood, were boarded up between 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Fairywood 1990		Some, like Broadhead Manor in Fairywood, were boarded up between 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990
Fairywood 2010			and 2010, then redeveloped and repopulated with a significantly altered racial composition.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Fairywood 2010		and 2010, then redeveloped and repopulated with a significantly altered racial composition.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Fairywood 2010		and 2010, then redeveloped and repopulated with a significantly altered racial composition.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Fairywood 2010		and 2010, then redeveloped and repopulated with a significantly altered racial composition.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010	Fairywood 2010		and 2010, then redeveloped and repopulated with a significantly altered racial composition.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45043,-80.08417,13.016,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,total_race_2010
Asians 1990			Another significant shift is the low initial Asian population (red) in 1990		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Asians 1990		Another significant shift is the low initial Asian population (red) in 1990		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Asians 1990		Another significant shift is the low initial Asian population (red) in 1990		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Asians 1990		Another significant shift is the low initial Asian population (red) in 1990		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990	Asians 1990		Another significant shift is the low initial Asian population (red) in 1990		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,total_race_1990
Asians 2016			significantly increasing by 2016.		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Asians 2016		significantly increasing by 2016.		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Asians 2016		significantly increasing by 2016.		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Asians 2016		significantly increasing by 2016.		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016	Asians 2016		significantly increasing by 2016.		https://earthtime.org/#theme=big_picture_on_nature&v=40.4201,-79.99126,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,total_race_2016
Regional origins			If we subdivide Asians by regional origin, we see significant clustering of South Asians (cyan), Southeast Asians (green), and East Asians (red) in different locations around Pittsburgh.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4201,-79.99126,10.4,latLng&ps=50&l=bdrk_detailed,acs2016_asian_origin&bt=20160101&et=20160101&t=0.0	Regional origins		If we subdivide Asians by regional origin, we see significant clustering of South Asians (cyan), Southeast Asians (green), and East Asians (red) in different locations around Pittsburgh.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4201,-79.99126,10.4,latLng&ps=50&l=bdrk_detailed,acs2016_asian_origin&bt=20160101&et=20160101&t=0.0	Regional origins		If we subdivide Asians by regional origin, we see significant clustering of South Asians (cyan), Southeast Asians (green), and East Asians (red) in different locations around Pittsburgh.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4201,-79.99126,10.4,latLng&ps=50&l=bdrk_detailed,acs2016_asian_origin&bt=20160101&et=20160101&t=0.0	Regional origins		If we subdivide Asians by regional origin, we see significant clustering of South Asians (cyan), Southeast Asians (green), and East Asians (red) in different locations around Pittsburgh.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4201,-79.99126,10.4,latLng&ps=50&l=bdrk_detailed,acs2016_asian_origin&bt=20160101&et=20160101&t=0.0	Regional origins		If we subdivide Asians by regional origin, we see significant clustering of South Asians (cyan), Southeast Asians (green), and East Asians (red) in different locations around Pittsburgh.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.4201,-79.99126,10.4,latLng&ps=50&l=bdrk_detailed,acs2016_asian_origin&bt=20160101&et=20160101&t=0.0
South asians			Remember this concentrated cluster of South Asians, we'll get back to them later.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians		Remember this concentrated cluster of South Asians, we'll get back to them later.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians		Remember this concentrated cluster of South Asians, we'll get back to them later.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians		Remember this concentrated cluster of South Asians, we'll get back to them later.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians		Remember this concentrated cluster of South Asians, we'll get back to them later.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin
Own v Rent 1990			Home ownership (magenta) vs renting (cyan) also changed significantly from 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_1990	Own v Rent 1990		Home ownership (magenta) vs renting (cyan) also changed significantly from 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_1990	Own v Rent 1990		Home ownership (magenta) vs renting (cyan) also changed significantly from 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_1990	Own v Rent 1990		Home ownership (magenta) vs renting (cyan) also changed significantly from 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_1990	Own v Rent 1990		Home ownership (magenta) vs renting (cyan) also changed significantly from 1990		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_1990
Own v Rent 2016			to 2016, with many formerly dense areas of ownership shifting to more rentals.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		to 2016, with many formerly dense areas of ownership shifting to more rentals.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		to 2016, with many formerly dense areas of ownership shifting to more rentals.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		to 2016, with many formerly dense areas of ownership shifting to more rentals.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		to 2016, with many formerly dense areas of ownership shifting to more rentals.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016
Loss 1990-2010			Here, areas of ownership loss from 1990-2010 are shown in magenta.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,homeownloss_1990_2010	Loss 1990-2010		Here, areas of ownership loss from 1990-2010 are shown in magenta.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,homeownloss_1990_2010	Loss 1990-2010		Here, areas of ownership loss from 1990-2010 are shown in magenta.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,homeownloss_1990_2010	Loss 1990-2010		Here, areas of ownership loss from 1990-2010 are shown in magenta.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,homeownloss_1990_2010	Loss 1990-2010		Here, areas of ownership loss from 1990-2010 are shown in magenta.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,homeownloss_1990_2010
Race 1990 (2)			Notice the resonances between areas of high home ownership loss and the 1990 racial clustering boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990 (2)		Notice the resonances between areas of high home ownership loss and the 1990 racial clustering boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990 (2)		Notice the resonances between areas of high home ownership loss and the 1990 racial clustering boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990 (2)		Notice the resonances between areas of high home ownership loss and the 1990 racial clustering boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0	Race 1990 (2)		Notice the resonances between areas of high home ownership loss and the 1990 racial clustering boundaries.		https://earthtime.org/#theme=big_picture_on_nature&v=40.43606,-79.94932,10.401,latLng&ps=0&l=total_race_1990,bdrk_detailed&bt=19900101&et=19900101&t=0
White o/r 1990			Comparing 1990 home ownership (magenta) vs rental (cyan) among White		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_white_1990	White o/r 1990		Comparing 1990 home ownership (magenta) vs rental (cyan) among White		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_white_1990	White o/r 1990		Comparing 1990 home ownership (magenta) vs rental (cyan) among White		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_white_1990	White o/r 1990		Comparing 1990 home ownership (magenta) vs rental (cyan) among White		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_white_1990	White o/r 1990		Comparing 1990 home ownership (magenta) vs rental (cyan) among White		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_white_1990
Black o/r 1990			vs Black Pittsburghers shows signicant inequity.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_1990	Black o/r 1990		vs Black Pittsburghers shows signicant inequity.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_1990	Black o/r 1990		vs Black Pittsburghers shows signicant inequity.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_1990	Black o/r 1990		vs Black Pittsburghers shows signicant inequity.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_1990	Black o/r 1990		vs Black Pittsburghers shows signicant inequity.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=19900101&et=19900101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_1990
Black o/r 2010			Moving forward to 2010, Black home ownership (magenta) and rentals (cyan) spread out geographically		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black o/r 2010		Moving forward to 2010, Black home ownership (magenta) and rentals (cyan) spread out geographically		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black o/r 2010		Moving forward to 2010, Black home ownership (magenta) and rentals (cyan) spread out geographically		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black o/r 2010		Moving forward to 2010, Black home ownership (magenta) and rentals (cyan) spread out geographically		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black o/r 2010		Moving forward to 2010, Black home ownership (magenta) and rentals (cyan) spread out geographically		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010
Black own 2010			with Black home ownership increasingly moving to the east towards Penn Hills.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45153,-79.83367,10.846,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black own 2010		with Black home ownership increasingly moving to the east towards Penn Hills.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45153,-79.83367,10.846,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black own 2010		with Black home ownership increasingly moving to the east towards Penn Hills.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45153,-79.83367,10.846,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black own 2010		with Black home ownership increasingly moving to the east towards Penn Hills.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45153,-79.83367,10.846,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010	Black own 2010		with Black home ownership increasingly moving to the east towards Penn Hills.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.45153,-79.83367,10.846,latLng&bt=20100101&et=20100101&t=0.0&ps=50&l=bdrk_detailed,own_rent_black_2010
Own v Rent 2016			Now lets compare the 2016 map of home ownership vs rent		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		Now lets compare the 2016 map of home ownership vs rent		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		Now lets compare the 2016 map of home ownership vs rent		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		Now lets compare the 2016 map of home ownership vs rent		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016	Own v Rent 2016		Now lets compare the 2016 map of home ownership vs rent		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,own_rent_2016
Income 2016			against 2016 household income (blue is >$100K/yr, red is <$20K/yr)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_all_income	Income 2016		against 2016 household income (blue is >$100K/yr, red is <$20K/yr)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_all_income	Income 2016		against 2016 household income (blue is >$100K/yr, red is <$20K/yr)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_all_income	Income 2016		against 2016 household income (blue is >$100K/yr, red is <$20K/yr)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_all_income	Income 2016		against 2016 household income (blue is >$100K/yr, red is <$20K/yr)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_all_income
Homeowner cost %			and the % of that income spent on housing for homeowners (blue is <20%, red is >30%)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_owner_housing_costs	Homeowner cost %		and the % of that income spent on housing for homeowners (blue is <20%, red is >30%)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_owner_housing_costs	Homeowner cost %		and the % of that income spent on housing for homeowners (blue is <20%, red is >30%)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_owner_housing_costs	Homeowner cost %		and the % of that income spent on housing for homeowners (blue is <20%, red is >30%)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_owner_housing_costs	Homeowner cost %		and the % of that income spent on housing for homeowners (blue is <20%, red is >30%)		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_owner_housing_costs
Renter cost %			and renters.  Notice how many more renters than owners pay > 30% of income on rent (red), and where they live.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renter cost %		and renters.  Notice how many more renters than owners pay > 30% of income on rent (red), and where they live.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renter cost %		and renters.  Notice how many more renters than owners pay > 30% of income on rent (red), and where they live.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renter cost %		and renters.  Notice how many more renters than owners pay > 30% of income on rent (red), and where they live.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renter cost %		and renters.  Notice how many more renters than owners pay > 30% of income on rent (red), and where they live.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.43606,-79.94932,10.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs
Renters <20%			Notice a dense cluster of renters paying < 20% of income on rent (blue).		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renters <20%		Notice a dense cluster of renters paying < 20% of income on rent (blue).		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renters <20%		Notice a dense cluster of renters paying < 20% of income on rent (blue).		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renters <20%		Notice a dense cluster of renters paying < 20% of income on rent (blue).		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs	Renters <20%		Notice a dense cluster of renters paying < 20% of income on rent (blue).		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_renter_housing_costs
South asians (2)			This turns out to be the cluster of South Asians (cyan) we introduced earlier.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians (2)		This turns out to be the cluster of South Asians (cyan) we introduced earlier.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians (2)		This turns out to be the cluster of South Asians (cyan) we introduced earlier.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians (2)		This turns out to be the cluster of South Asians (cyan) we introduced earlier.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin	South asians (2)		This turns out to be the cluster of South Asians (cyan) we introduced earlier.		https://earthtime.org/#theme=equality_in_pittsburgh&v=40.39339,-80.0605,11.4,latLng&bt=20160101&et=20160101&t=0.0&ps=50&l=bdrk_detailed,acs2016_asian_origin
